,XLE,XLF,XLU,XLI,XLK,XLV,XLY,XLP,XLB,XOP,XHB,XME,XRT,XTL
2006-01-03,35.969512939453125,14.810401916503906,18.80947494506836,23.322595596313477,17.157997131347656,24.7869930267334,26.789533615112305,15.905517578125,22.15109634399414,,,,,
2006-01-04,36.07188034057617,14.796602249145508,18.8388614654541,23.381587982177734,17.359285354614258,25.034027099609375,26.813888549804688,15.95980167388916,22.287216186523438,,,,,
2006-01-05,35.61459732055664,14.847201347351074,18.715423583984375,23.34471893310547,17.439809799194336,24.972265243530273,26.83824920654297,15.878378868103027,22.251386642456055,,,,,
2006-01-06,36.48823165893555,14.934590339660645,18.915279388427734,23.433198928833008,17.713560104370117,25.134376525878906,27.057430267333984,15.946227073669434,22.487796783447266,,,,,
2006-01-09,36.44728469848633,14.975985527038574,18.79771614074707,23.624916076660156,17.769912719726562,25.25016212463379,27.333446502685547,16.020872116088867,22.48063850402832,,,,,
2006-01-10,36.84315872192383,14.989784240722656,18.827106475830078,23.558551788330078,17.753816604614258,25.157529830932617,27.341554641723633,15.9801607131958,22.33736228942871,,,,,
2006-01-11,37.00013732910156,15.072577476501465,18.79771614074707,23.573299407958984,17.922903060913086,25.095779418945312,27.479562759399414,15.993731498718262,22.165420532226562,,,,,
2006-01-12,36.73395538330078,14.966791152954102,18.79771614074707,23.39633560180664,17.826282501220703,25.072612762451172,27.23602294921875,15.953025817871094,21.857372283935547,,,,,
2006-01-13,37.1707763671875,14.957587242126465,18.92703628540039,23.315223693847656,17.81822395324707,25.057178497314453,27.244152069091797,15.932656288146973,21.90751838684082,,,,,
2006-01-17,37.989803314208984,14.8012056350708,19.12688636779785,23.19724464416504,17.641088485717773,24.987707138061523,27.0980224609375,15.871589660644531,21.92901039123535,,,,,
2006-01-18,37.675838470458984,14.759811401367188,19.168025970458984,23.226741790771484,17.431747436523438,25.02630615234375,27.00872802734375,15.939453125,21.714086532592773,,,,,
2006-01-19,38.331085205078125,14.713817596435547,19.338491439819336,23.337350845336914,17.584735870361328,25.157529830932617,27.2116756439209,15.953025817871094,21.94333839416504,,,,,
2006-01-20,38.501708984375,14.405647277832031,19.226806640625,22.828575134277344,17.12579345703125,24.678932189941406,26.748950958251953,15.722305297851562,21.570810317993164,,,,,
2006-01-23,38.92488098144531,14.442442893981934,19.197418212890625,22.84331703186035,17.06138038635254,24.663488388061523,26.732702255249023,15.735876083374023,21.86453628540039,,,,,
2006-01-24,38.69282531738281,14.5068359375,19.36787986755371,23.01291275024414,17.11775016784668,24.547700881958008,27.000608444213867,15.790172576904297,22.108108520507812,,,,,
2006-01-25,37.88060760498047,14.534438133239746,19.103370666503906,23.00553321838379,17.174095153808594,24.516817092895508,26.903179168701172,15.803736686706543,22.21556854248047,,,,,
2006-01-26,38.00347137451172,14.78280258178711,18.93290901184082,23.26361846923828,17.286819458007812,24.640331268310547,27.016841888427734,15.837664604187012,22.48063850402832,,,,,
2006-01-27,38.665523529052734,14.796602249145508,19.038715362548828,23.315223693847656,17.480064392089844,24.925960540771484,27.13861656188965,15.966588973999023,22.638248443603516,,,,,
2006-01-30,39.55281448364258,14.7506103515625,18.909395217895508,23.366838455200195,17.536418914794922,24.810161590576172,27.07367515563965,15.905517578125,22.702720642089844,,,,,
2006-01-31,39.35488510131836,14.695419311523438,18.89764404296875,23.234119415283203,17.391490936279297,24.80243682861328,26.97625160217285,15.8308744430542,22.738542556762695,,,,,
2006-02-01,38.4198112487793,14.686220169067383,18.950546264648438,23.433198928833008,17.496166229248047,24.956832885742188,27.065547943115234,15.871589660644531,22.80302619934082,,,,,
2006-02-02,38.03758239746094,14.585031509399414,18.70366668701172,23.234119415283203,17.254621505737305,24.75612449645996,27.033077239990234,15.86480712890625,22.46631622314453,,,,,
2006-02-03,37.68948745727539,14.52523136138916,18.6096248626709,23.182497024536133,17.133838653564453,24.709808349609375,26.903179168701172,15.763019561767578,22.265722274780273,,,,,
2006-02-06,38.426631927490234,14.566633224487305,18.721309661865234,23.26361846923828,17.085538864135742,24.48594856262207,26.895078659057617,15.729092597961426,22.666900634765625,,38.70130157470703,,,
2006-02-07,36.822669982910156,14.470041275024414,18.6096248626709,23.09401512145996,17.037220001220703,24.44734001159668,26.732702255249023,15.65444564819336,22.072282791137695,,37.712711334228516,,,
2006-02-08,36.829505920410156,14.562026977539062,18.603744506835938,23.204622268676758,17.36734390258789,24.763843536376953,26.919435501098633,15.722305297851562,22.108108520507812,,38.348854064941406,,,
2006-02-09,35.98997497558594,14.59882926940918,18.66840362548828,23.337350845336914,17.286819458007812,24.7869930267334,26.91131591796875,15.769807815551758,22.179750442504883,,38.06515884399414,,,
2006-02-10,35.86030197143555,14.681615829467773,18.680156707763672,23.492177963256836,17.423694610595703,24.73296356201172,27.00872802734375,15.749443054199219,22.136764526367188,,37.65254211425781,,,
2006-02-13,35.71698760986328,14.626428604125977,18.656648635864258,23.521684646606445,17.262672424316406,24.70209312438965,26.943782806396484,15.729092597961426,21.914684295654297,,37.394649505615234,,,
2006-02-14,35.31427001953125,14.8012056350708,18.639015197753906,23.801883697509766,17.496166229248047,24.94139289855957,27.244152069091797,15.925878524780273,22.50213050842285,,38.03937911987305,,,
2006-02-15,35.1231689453125,14.888589859008789,18.66840362548828,23.868242263793945,17.59278678894043,25.08805274963379,27.365921020507812,16.027664184570312,22.401836395263672,,38.40902328491211,,,
2006-02-16,35.928550720214844,14.975985527038574,18.815345764160156,23.934602737426758,17.753816604614258,25.25016212463379,27.455223083496094,16.10230255126953,22.695558547973633,,38.85606002807617,,,
2006-02-17,36.18109130859375,14.916192054748535,18.98581314086914,23.993593215942383,17.657196044921875,25.23472023010254,27.2928524017334,16.034446716308594,22.674062728881836,,38.52077102661133,,,
2006-02-21,36.890933990478516,14.870197296142578,19.015201568603516,23.897733688354492,17.463960647583008,25.10350227355957,27.1467227935791,16.014087677001953,22.681230545043945,,38.75289535522461,,,
2006-02-22,36.20156478881836,15.150765419006348,19.085737228393555,24.148439407348633,17.552522659301758,25.319644927978516,27.349679946899414,16.143014907836914,22.774364471435547,,39.466392517089844,,,
2006-02-23,36.16061019897461,15.095574378967285,19.06222152709961,24.06733512878418,17.463960647583008,25.227006912231445,27.203556060791016,16.149795532226562,22.659738540649414,,39.20847702026367,,,
2006-02-24,36.604270935058594,15.12777042388916,19.121004104614258,24.082069396972656,17.47201156616211,25.227006912231445,27.154848098754883,16.068374633789062,22.72421646118164,,38.98500061035156,,,
2006-02-27,35.969512939453125,15.155366897583008,19.273832321166992,24.236921310424805,17.633041381835938,25.419981002807617,27.398387908935547,16.18372917175293,22.537952423095703,,38.92483139038086,,,
2006-02-28,35.72380447387695,15.008180618286133,19.144519805908203,23.95672607421875,17.431747436523438,25.08805274963379,27.171092987060547,15.966588973999023,22.251386642456055,,38.42623519897461,,,
2006-03-01,36.33125305175781,15.086372375488281,19.09161376953125,24.148439407348633,17.77796745300293,25.111221313476562,27.374042510986328,16.027664184570312,22.595266342163086,,38.51218795776367,,,
2006-03-02,36.938716888427734,14.994383811950684,19.079853057861328,24.082069396972656,17.81822395324707,25.06490135192871,27.195432662963867,15.939453125,22.731382369995117,,38.51218795776367,,,
2006-03-03,36.94552993774414,14.957587242126465,18.98581314086914,24.141067504882812,17.713560104370117,24.979990005493164,27.17920684814453,15.9801607131958,22.738542556762695,,37.9018440246582,,,
2006-03-06,35.66236114501953,14.911589622497559,18.680156707763672,24.01572036743164,17.641088485717773,24.8487548828125,27.00872802734375,15.925878524780273,22.430490493774414,,37.48920440673828,,,
2006-03-07,35.136817932128906,14.962190628051758,18.591991424560547,24.03046226501465,17.528369903564453,24.856481552124023,26.886951446533203,16.034446716308594,22.21556854248047,,36.8100700378418,,,
2006-03-08,35.136817932128906,14.97138500213623,18.574357986450195,24.0009708404541,17.512266159057617,25.02630615234375,26.935659408569336,16.210878372192383,22.079458236694336,,36.749908447265625,,,
2006-03-09,34.884300231933594,14.879395484924316,18.52146339416504,23.971479415893555,17.4075984954834,24.94139289855957,26.83013343811035,16.238014221191406,22.036470413208008,,36.087989807128906,,,
2006-03-10,35.07539749145508,15.012779235839844,18.639015197753906,24.222171783447266,17.488109588623047,25.034027099609375,27.081787109375,16.38729476928711,22.430490493774414,,36.56938552856445,,,
2006-03-13,35.7647590637207,15.017375946044922,18.66252326965332,24.20742416381836,17.552522659301758,25.018583297729492,27.07367515563965,16.4008731842041,22.48063850402832,,36.818687438964844,,,
2006-03-14,36.42680740356445,15.192161560058594,18.862375259399414,24.43600845336914,17.753816604614258,25.19613265991211,27.365921020507812,16.360157012939453,22.89614486694336,,38.305870056152344,,,
2006-03-15,36.617923736572266,15.210556983947754,18.98581314086914,24.8046817779541,17.85848617553711,25.281042098999023,27.520164489746094,16.299087524414062,23.168386459350586,,38.04798889160156,,,
2006-03-16,37.19807815551758,15.261153221130371,19.085737228393555,24.819440841674805,17.745769500732422,25.281042098999023,27.576984405517578,16.353368759155273,23.204206466674805,,38.959197998046875,,,
2006-03-17,36.72641372680664,15.30600643157959,19.039546966552734,25.0089111328125,17.802127838134766,25.340673446655273,27.623268127441406,16.343820571899414,23.173965454101562,,39.69562911987305,,,
2006-03-20,35.911800384521484,15.31525993347168,18.761207580566406,24.964496612548828,17.834333419799805,25.38714599609375,27.558311462402344,16.439319610595703,23.123571395874023,,38.97298049926758,,,
2006-03-21,35.85019302368164,15.162662506103516,18.61907386779785,24.8682804107666,17.761863708496094,25.232254028320312,27.404043197631836,16.330183029174805,22.78521156311035,,38.21587371826172,,,
2006-03-22,36.089786529541016,15.282891273498535,18.70791244506836,25.053319931030273,17.769912719726562,25.487815856933594,27.493358612060547,16.480243682861328,23.022785186767578,,38.3535270690918,,,
2006-03-23,36.62373733520508,15.208902359008789,18.684223175048828,24.949691772460938,17.72966194152832,25.348419189453125,27.477113723754883,16.357465744018555,23.08757972717285,,39.34291458129883,,,
2006-03-24,36.87016677856445,15.204285621643066,18.648691177368164,24.927480697631836,17.786026000976562,25.309694290161133,27.436511993408203,16.357465744018555,23.07317543029785,,39.49776840209961,,,
2006-03-27,37.061851501464844,15.195033073425293,18.52432632446289,24.949691772460938,17.8101749420166,25.11608123779297,27.42839241027832,16.30289077758789,23.231555938720703,,39.549381256103516,,,
2006-03-28,37.34935760498047,15.070178031921387,18.44733428955078,24.77206039428711,17.608888626098633,24.883745193481445,27.28223991394043,16.17328643798828,23.037181854248047,,39.14502716064453,,,
2006-03-29,37.7874755859375,15.139542579650879,18.559860229492188,25.02370262145996,17.874589920043945,24.95344352722168,27.525829315185547,16.289249420166016,23.425939559936523,,39.18805694580078,,,
2006-03-30,37.76694107055664,15.0470609664917,18.3940372467041,25.02370262145996,17.93095588684082,24.90697479248047,27.41215705871582,16.159645080566406,23.512325286865234,,38.551395416259766,,,
2006-03-31,37.239837646484375,15.051682472229004,18.25782585144043,25.016305923461914,17.826282501220703,24.76757049560547,27.330947875976562,16.09825325012207,23.289152145385742,,38.49979782104492,,,
2006-04-03,37.44520950317383,15.07480525970459,18.28151512145996,25.10511589050293,17.93095588684082,24.7520809173584,27.2335205078125,16.15282440185547,23.577119827270508,,37.96638107299805,,,
2006-04-04,37.93808364868164,15.236650466918945,18.476940155029297,25.275348663330078,17.995361328125,24.783058166503906,27.387798309326172,16.13918685913086,23.61311149597168,,38.370731353759766,,,
2006-04-05,38.56101989746094,15.264398574829102,18.654611587524414,25.2901554107666,18.148345947265625,24.705604553222656,27.566431045532227,16.17328643798828,23.93707275390625,,39.996761322021484,,,
2006-04-06,38.643184661865234,15.208902359008789,18.423648834228516,25.253145217895508,18.132247924804688,24.51973533630371,27.623268127441406,16.111906051635742,23.98746109008789,,39.59241485595703,,,
2006-04-07,37.890159606933594,15.065564155578613,18.16307258605957,25.12733268737793,17.922903060913086,24.225440979003906,27.501468658447266,15.968649864196777,23.620311737060547,,39.385921478271484,,,
2006-04-10,38.60893249511719,15.09329605102539,18.157154083251953,25.038515090942383,17.89873504638672,24.178966522216797,27.460872650146484,15.989114761352539,23.61311149597168,,38.964359283447266,,,
2006-04-11,38.33511734008789,14.963825225830078,17.949878692626953,24.994108200073242,17.737714767456055,23.9156494140625,27.241653442382812,15.839043617248535,23.440340042114258,,38.56000900268555,,,
2006-04-12,38.08182144165039,14.996192932128906,17.991331100463867,25.164325714111328,17.769912719726562,24.078289031982422,27.217281341552734,15.893614768981934,23.598711013793945,,38.00078582763672,,,
2006-04-13,38.20505905151367,15.019316673278809,17.908424377441406,25.06071662902832,17.79407501220703,24.024072647094727,27.28223991394043,15.86633586883545,23.721092224121094,,37.59642791748047,,,
2006-04-17,38.91014862060547,15.005441665649414,17.890663146972656,24.93489646911621,17.60083770751953,23.884675979614258,27.144216537475586,15.777653694152832,23.929872512817383,,37.424381256103516,,,
2006-04-18,39.8616828918457,15.282891273498535,18.23414421081543,25.53439712524414,17.955102920532227,24.109270095825195,27.542072296142578,15.92772102355957,24.584991455078125,,38.78370666503906,,,
2006-04-19,40.47776794433594,15.301387786865234,18.29336166381836,25.697223663330078,17.93900489807129,23.969858169555664,27.444631576538086,15.948183059692383,24.75057601928711,,38.370731353759766,,,
2006-04-20,40.06018829345703,15.333756446838379,18.423648834228516,25.793434143066406,17.955102920532227,24.186710357666016,27.55019760131836,15.975471496582031,24.520206451416016,,38.33631896972656,,,
2006-04-21,40.895362854003906,15.31525993347168,18.50655746459961,25.823047637939453,17.761863708496094,24.132497787475586,27.33907699584961,15.975471496582031,24.76496696472168,,38.061012268066406,,,
2006-04-24,40.27241516113281,15.319890022277832,18.67829704284668,25.911869049072266,17.737714767456055,24.039566040039062,27.330947875976562,16.043684005737305,24.678579330444336,,37.59642791748047,,,
2006-04-25,39.75215148925781,15.227400779724121,18.411800384521484,25.608402252197266,17.72966194152832,23.892423629760742,27.290363311767578,16.043684005737305,24.505802154541016,,36.66727066040039,,,
2006-04-26,39.12236404418945,15.31525993347168,18.22821807861328,25.749034881591797,17.79407501220703,23.892423629760742,27.477113723754883,16.193754196166992,24.498600006103516,,37.35554885864258,,,
2006-04-27,38.67738723754883,15.555710792541504,18.471023559570312,25.608402252197266,17.971206665039062,23.76076316833496,27.696348190307617,16.214216232299805,24.009061813354492,,36.64147186279297,,,
2006-04-28,39.115516662597656,15.703692436218262,18.548015594482422,25.556602478027344,17.59278678894043,24.000839233398438,27.680099487304688,16.255142211914062,24.117048263549805,,36.460811614990234,,,
2006-05-01,39.758995056152344,15.458606719970703,18.37626838684082,25.623210906982422,17.447853088378906,23.791738510131836,27.525829315185547,16.248321533203125,24.27543830871582,,36.030635833740234,,,
2006-05-02,40.64207458496094,15.555710792541504,18.672372817993164,25.830446243286133,17.528369903564453,23.791738510131836,27.55019760131836,16.343820571899414,24.513002395629883,,35.66069412231445,,,
2006-05-03,40.01228713989258,15.541842460632324,18.613155364990234,25.837854385375977,17.488109588623047,23.52841567993164,27.623268127441406,16.23467445373535,24.520206451416016,,35.7037239074707,,,
2006-05-04,39.82746505737305,15.574211120605469,18.6368408203125,26.148706436157227,17.552522659301758,23.605871200561523,27.77754020690918,16.261966705322266,24.76496696472168,,35.42841339111328,,,
2006-05-05,40.292964935302734,15.796171188354492,19.057315826416016,26.407751083374023,17.649145126342773,23.83820915222168,28.102336883544922,16.412033081054688,24.937753677368164,,36.434993743896484,,,
2006-05-08,40.11496353149414,15.731439590454102,18.909263610839844,26.385541915893555,17.673297882080078,23.830459594726562,28.14293098449707,16.50071144104004,25.031335830688477,,35.90159606933594,,,
